STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/2/2006,0,,68,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/3/2006,0.19,,69,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/4/2006,0,,74,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/5/2006,0,,78,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/6/2006,0,,70,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/7/2006,0,,62,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/8/2006,0,,64,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/9/2006,0,,62,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/10/2006,0.03,,65,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/11/2006,0.03,,61,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/12/2006,1,,66,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/13/2006,0,,71,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/14/2006,0,,61,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/15/2006,0.76,,65,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/16/2006,0.98,,65,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/17/2006,0,,68,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/18/2006,0.02,,69,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/19/2006,1.08,,65,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/20/2006,0,,69,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/21/2006,0.05,,68,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/22/2006,0,,65,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/23/2006,0,,69,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/24/2006,0,,73,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/25/2006,0,,71,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/26/2006,0.15,,68,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/27/2006,0,,84,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/28/2006,0,,79,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/29/2006,0,,77,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/30/2006,0,,83,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/31/2006,0,,67,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/1/2006,0.33,,77,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/2/2006,0.75,,78,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/3/2006,0.67,,68,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/4/2006,0.07,,69,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/5/2006,0,,69,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/6/2006,0,,72,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/7/2006,1.18,,63,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/8/2006,0.09,,66,57
